NR_SEQUENCIA;DT_ATUALIZACAO;NM_USUARIO;DT_ATUALIZACAO_NREC;NM_USUARIO_NREC;CD_ESTABELECIMENTO;CD_BEM;DS_BEM;DT_AQUISICAO;DT_INICIO_USO;NR_SEQ_TIPO;NR_SEQ_LOCAL;IE_IMOBILIZADO;IE_SITUACAO;CD_CENTRO_CUSTO;CD_CONTA_CONTABIL;IE_TIPO_VALOR;TX_DEPREC;TX_FISCAL;CD_CGC;NR_NOTA_FISCAL;NR_SEQ_ADICAO;DS_SERIE;CD_PESSOA_FISICA;CD_BEM_SUPERIOR;VL_ORIGINAL;NR_SEQ_MARCA;CD_MOEDA;IE_SUBVENCAO;DT_GARANTIA;DS_OBSERVACAO;NR_SEQ_CRIT_RATEIO;CD_BEM_EXTERNO;VL_RESIDUAL;IE_PROPRIEDADE;VL_MERCADO;NR_SEQ_REGRA_CONTA;QT_TEMPO_VIDA_UTIL;DT_VALOR;VL_BASE_DEPREC;VL_CONTABIL;VL_DEPREC_ACUM;VL_DEPREC_MES;NR_APOLICE;DT_INICIO;DT_FIM;NR_SEQ_CONTRATO;CD_EMPRESA_SEGURO;DS_DESCRICAO
1;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;6750;CADEIRA GIRATORIA. ASSENTO EM: COURINO. BRACOS EM: COM. COR: VERDE. ENCOSTO EM:;10/09/2010;10/09/2010;152;428;S;A;1010;220317;O;10,0000;10,0000;;;;;;;850,00;;1;;;;;;;;;9;;30/06/2024;850,0000;0,0000;850,0000;0,0000;;;;;;BEM
2;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;835;CADEIRA GIRATORIA. ASSENTO EM: COURINO. BRACOS EM: COM. COR: VERDE. ENCOSTO EM:;10/09/2010;10/09/2010;152;428;S;A;1010;220317;O;10,0000;10,0000;;;;;;;850,00;;1;;;;;;;;;9;;30/06/2024;850,0000;0,0000;850,0000;0,0000;;;;;;BEM
3;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;2613;CADEIRA GIRATORIA. ASSENTO EM: COURINO. BRACOS EM: COM. COR: VERDE. ENCOSTO EM:;10/09/2010;10/09/2010;152;428;S;A;1010;220317;O;10,0000;10,0000;;;;;;;850,00;;1;;;;;;;;;9;;30/06/2024;850,0000;0,0000;850,0000;0,0000;;;;;;BEM
4;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;2616;CADEIRA GIRATORIA. ASSENTO EM: COURINO. BRACOS EM: COM. COR: VERDE. ENCOSTO EM:;10/09/2010;10/09/2010;152;641;S;A;1038;220317;O;10,0000;10,0000;;;;;;;850,00;;1;;;;;;;;;9;;30/06/2024;850,0000;0,0000;850,0000;0,0000;;;;;;BEM
5;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;829;CADEIRA GIRATORIA. ASSENTO EM: COURINO. BRACOS EM: COM. COR: VERDE. ENCOSTO EM:;10/09/2010;10/09/2010;152;174;S;A;1028;220317;O;10,0000;10,0000;;;;;;;850,00;;1;;;;;;;;;9;;30/06/2024;850,0000;0,0000;850,0000;0,0000;;;;;;BEM
6;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;832;CADEIRA GIRATORIA. ASSENTO EM: COURINO. BRACOS EM: COM. COR: VERDE. ENCOSTO EM:;10/09/2010;10/09/2010;152;428;S;A;1010;220317;O;10,0000;10,0000;;;;;;;850,00;;1;;;;;;;;;9;;30/06/2024;850,0000;0,0000;850,0000;0,0000;;;;;;BEM
7;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;26171;POLTRONA COM RODIZIOS COM BRACOS EM CONHA;10/09/2010;10/09/2010;152;645;S;A;1017;220317;O;10,0000;10,0000;;;;;;;850,00;;1;;;;;;;;;9;;30/06/2024;850,0000;0,0000;850,0000;0,0000;;;;;;BEM
8;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;2624;CADEIRA GIRATORIA. ASSENTO EM: COURINO. BRACOS EM: COM. COR: PRETO. ENCOSTO EM:;10/09/2010;10/09/2010;152;428;S;A;1010;220317;O;10,0000;10,0000;;;;;;;850,00;;1;;;;;;;;;9;;30/06/2024;850,0000;0,0000;850,0000;0,0000;;;;;;BEM
9;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;2620;CADEIRA GIRATORIA. ASSENTO EM: COURINO. BRACOS EM: COM. COR: VERDE. ENCOSTO EM:;10/09/2010;10/09/2010;152;174;S;A;1028;220317;O;10,0000;10,0000;;;;;;;850,00;;1;;;;;;;;;9;;30/06/2024;850,0000;0,0000;850,0000;0,0000;;;;;;BEM
10;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;831;CADEIRA GIRATORIA. ASSENTO EM: COURINO. BRACOS EM: COM. COR: VERDE. ENCOSTO EM:;10/09/2010;10/09/2010;152;428;S;A;1010;220317;O;10,0000;10,0000;;;;;;;850,00;;1;;;;;;;;;9;;30/06/2024;850,0000;0,0000;850,0000;0,0000;;;;;;BEM
11;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;2619;CADEIRA GIRATORIA. ASSENTO EM: COURINO. BRACOS EM: COM. COR: VERDE. ENCOSTO EM:;10/09/2010;10/09/2010;152;428;S;A;1010;220317;O;10,0000;10,0000;;;;;;;850,00;;1;;;;;;;;;9;;30/06/2024;850,0000;0,0000;850,0000;0,0000;;;;;;BEM
12;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;6749;CADEIRA GIRATORIA. ASSENTO EM: COURINO. BRACOS EM: COM. COR: VERDE. ENCOSTO EM:;10/09/2010;10/09/2010;152;428;S;A;1010;220317;O;10,0000;10,0000;;;;;;;1600,00;;1;;;;;;;;;9;;30/06/2024;850,0000;0,0000;850,0000;0,0000;;;;;;BEM
13;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;839;MESA EM MDF. ALTURA: 0.80. COMPRIMENTO: 3.00. COR: MARROM. ESTRUTURA EM: ACO. LA;10/09/2010;10/09/2010;152;428;S;A;1010;220317;O;10,0000;10,0000;;;;;;;2912,00;;1;;;;;;;;;9;;30/06/2024;1600,0000;0,0000;1600,0000;0,0000;;;;;;BEM
14;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;2614;ARMARIO ALTO. ALTURA: 0.50. COMPRIMENTO: 1.10. COR: MARROM. ESTRUTURA EM: MDF. L;10/09/2010;10/09/2010;152;428;S;A;1010;220317;O;10,0000;10,0000;;;;;;;2578,00;;1;;;;;;;;;9;;30/06/2024;2912,0000;0,0000;2912,0000;0,0000;;;;;;BEM
15;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;4031;MESA EM MDF. ALTURA: 0.75. COMPRIMENTO: 3.00. COR: BEGE. ESTRUTURA EM: ACO. LARG;10/09/2010;10/09/2010;152;405;S;A;1024;220317;O;10,0000;10,0000;;;;;;;1200,00;;1;;;;;;;;;9;;30/06/2024;2578,0000;0,0000;2578,0000;0,0000;;;;;;BEM
16;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;840;MESA EM MDF. ALTURA: 0.80. COMPRIMENTO: 2.40. COR: MARROM. ESTRUTURA EM: MDF. LA;10/09/2010;10/09/2010;152;428;S;A;1010;220317;O;10,0000;10,0000;;;;;;;818,00;;1;;;;;;;;;9;;30/06/2024;1200,0000;0,0000;1200,0000;0,0000;;;;;;BEM
17;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;8391;TAMPO P MESA;10/09/2010;10/09/2010;152;428;S;A;1010;220317;O;10,0000;10,0000;;;;;;;1089,00;;1;;;;;;;;;9;;30/06/2024;818,0000;0,0000;818,0000;0,0000;;;;;;BEM
18;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;402;CPU DELL. COR: PRETO. ESTRUTURA EM: ACO. MARCA: DELL. MODELO: OPTIPLEX 3020;08/10/2010;08/10/2010;71;168;S;A;1012;220316;O;20,0000;20,0000;;;;;;;1570.48;;1;;;;;;;;;8;;30/06/2024;1089,0000;0,0000;1089,0000;0,0000;;;;;;BEM
19;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;999886124;MEMORIA DE 8GB PARA SERVIDOR;13/09/2010;13/09/2010;71;520;S;A;1015;220316;O;20,0000;20,0000;;;;;;;1570.48;;1;;;;;;;;;8;;30/06/2024;1570.48;0,0000;1570.48;0,0000;;;;;;BEM
20;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;9998861241;MEMORIA DE 8GB PARA SERVIDOR;13/09/2010;13/09/2010;71;520;S;A;1015;220316;O;20,0000;20,0000;;;;;;;1134.04;;1;;;;;;;;;8;;30/06/2024;1570.48;0,0000;1570.48;0,0000;;;;;;BEM
21;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;18;SWITCH 3COM. COR: AZUL. ESTRUTURA EM: ACO. MARCA: 3COM. MODELO: 3CR1766191;15/10/2010;15/10/2010;71;420;S;A;1016;220316;O;20,0000;20,0000;;;;;;;399,00;;1;;;;;;;;;8;;30/06/2024;1134.04;0,0000;1134.04;0,0000;;;;;;BEM
22;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;31;SWITCH 3COM. COR: CINZA. ESTRUTURA EM: ACO. MARCA: 3COM. MODELO: BASELINE 2024;14/10/2010;14/10/2010;71;529;S;A;1026;220316;O;20,0000;20,0000;;;;;;;2700,00;;1;;;;;;;;;8;;30/06/2024;399,0000;0,0000;399,0000;0,0000;;;;;;BEM
23;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;999374044;TELA EM MADEIRA;25/10/2010;25/10/2010;145;428;S;A;1010;220369;O;0,0000;0,0000;;;;;;;990,00;;1;;;;;;;;;12;;30/06/2024;2700,0000;2700,0000;0,0000;0,0000;;;;;;BEM
24;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;4251;CPU MULTILASER. COR: PRETO. ESTRUTURA EM: ACO. MARCA: MULTILASER;28/11/2008;01/12/2010;71;525;S;A;1002;220316;O;20,0000;20,0000;;;;;;;660,00;;1;;;;;;;;;8;;30/06/2024;990,0000;0,0000;990,0000;0,0000;;;;;;BEM
25;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;482;ARMARIO MEDIO. ALTURA: 1.60. COMPRIMENTO: 0.80. COR: BEGE. ESTRUTURA EM: MDF. LA;21/08/2007;01/12/2010;152;165;S;A;1034;220317;O;10,0000;10,0000;;;;;;;7529.19;;1;;;;;;;;;9;;30/06/2024;660,0000;0,0000;660,0000;0,0000;;;;;;BEM
26;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;490;IMPRESSORA DATACARD. COR: AZUL E CINZA. ESTRUTURA EM: POLIPROPILENO. MARCA: DATA;14/03/2008;01/12/2010;71;165;S;A;1034;220316;O;20,0000;20,0000;;;;;;;550,00;;1;;;;;;;;;8;;30/06/2024;7529.19;0,0000;7529.19;0,0000;;;;;;BEM
27;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;6633;MONITOR SAMSUNG. ANO FABRICACAO: 2008. COR: PRETO. ESTRUTURA EM: POLIPROPILENO.;10/10/2008;01/12/2010;71;167;S;A;1018;220316;O;20,0000;20,0000;;;;;;;1100,00;;1;;;;;;;;;8;;30/06/2024;550,0000;0,0000;550,0000;0,0000;;;;;;BEM
28;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;624;CONDICIONADOR DE AR KOMECO. COR: BRANCO. ESTRUTURA EM: POLIPROPILENO. MARCA: KOM;27/08/2007;01/12/2010;152;400;S;A;1019;220317;O;10,0000;10,0000;;;;;;;1999,00;;1;;;;;;;;;9;;30/06/2024;1100,0000;0,0000;1100,0000;0,0000;;;;;;BEM
29;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;84;TELEVISAO SONY. COR: PRETO. ESTRUTURA EM: POLIPROPILENO. MARCA: SONY. MODELO: KD;20/03/2009;01/12/2010;152;172;S;A;1022;220317;O;10,0000;10,0000;;;;;;;1100,00;;1;;;;;;;;;9;;30/06/2024;1999,0000;0,0000;1999,0000;0,0000;;;;;;BEM
30;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;465;CONDICIONADOR DE AR KOMECO. COR: BEGE. ESTRUTURA EM: POLIPROPILENO. MARCA: KOMEC;26/06/2008;01/12/2010;152;188;S;A;1037;220317;O;10,0000;10,0000;;;;;;;1100,00;;1;;;;;;;;;9;;30/06/2024;1100,0000;0,0000;1100,0000;0,0000;;;;;;BEM
31;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;725;CONDICIONADOR DE AR KOMECO. COR: BEGE. ESTRUTURA EM: POLIPROPILENO. MARCA: KOMEC;26/06/2008;01/12/2010;152;407;S;A;1025;220317;O;10,0000;10,0000;;;;;;;420,00;;1;;;;;;;;;9;;30/06/2024;1100,0000;0,0000;1100,0000;0,0000;;;;;;BEM
32;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;983;MONITOR SAMSUNG. ANO FABRICACAO: 2009. COR: PRETO. ESTRUTURA EM: POLIPROPILENO.;29/01/2009;01/12/2010;71;504;S;A;1029;220316;O;20,0000;20,0000;;;;;;;2350,00;;1;;;;;;;;;8;;30/06/2024;420,0000;0,0000;420,0000;0,0000;;;;;;BEM
33;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;3094;CPU DELL. COR: PRETO. ESTRUTURA EM: ACO. MARCA: DELL. MODELO: OPTIPLEX 3070;23/06/2005;01/12/2010;71;380;S;A;1036;220316;O;20,0000;20,0000;;;;;;;488.36;;1;;;;;;;;;8;;30/06/2024;2350,0000;0,0000;2350,0000;0,0000;;;;;;BEM
34;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;952;MONITOR SAMSUNG. ANO FABRICACAO: 2007. COR: PRETO. ESTRUTURA EM: POLIPROPILENO.;30/11/2007;01/12/2010;71;420;S;A;1016;220316;O;20,0000;20,0000;;;;;;;1230,00;;1;;;;;;;;;8;;30/06/2024;488.36;0,0000;488.36;0,0000;;;;;;BEM
35;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;685;CONDICIONADOR DE AR KOMECO. COR: BEGE. ESTRUTURA EM: POLIPROPILENO. MARCA: KOMEC;20/11/2006;01/12/2010;152;641;S;A;1038;220317;O;10,0000;10,0000;;;;;;;590,00;;1;;;;;;;;;9;;30/06/2024;1230,0000;0,0000;1230,0000;0,0000;;;;;;BEM
36;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;4017;NOBREAK SMS. COR: PRETO. ESTRUTURA EM: ACO. MARCA: SMS;09/06/2008;01/12/2010;71;168;S;A;1012;220316;O;20,0000;20,0000;;;;;;;900,00;;1;;;;;;;;;8;;30/06/2024;590,0000;0,0000;590,0000;0,0000;;;;;;BEM
37;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;698;CONDICIONADOR DE AR KOMECO. COR: BEGE. ESTRUTURA EM: POLIPROPILENO. MARCA: KOMEC;27/08/2007;01/12/2010;152;529;S;A;1026;220317;O;10,0000;10,0000;;;;;;;16500,00;;1;;;;;;;;;9;;30/06/2024;900,0000;0,0000;900,0000;0,0000;;;;;;BEM
38;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;68;NOBREAK DELL. COR: PRETO. ESTRUTURA EM: ACO. MARCA: DELL. MODELO: POWEREDGE T320;22/11/2007;01/12/2010;71;420;S;A;1016;220316;O;20,0000;20,0000;;;;;;;13001.41;;1;;;;;;;;;8;;30/06/2024;16500,0000;0,0000;16500,0000;0,0000;;;;;;BEM
39;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;23;SERVIDOR DELL. MARCA: DELL. MODELO: POWEREDGE T610;24/07/2009;01/12/2010;71;420;S;A;1016;220316;O;20,0000;20,0000;;;;;;;490,00;;1;;;;;;;;;8;;30/06/2024;13001.41;0,0000;13001.41;0,0000;;;;;;BEM
40;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;6623;MONITOR SAMSUNG. ANO FABRICACAO: 2008. COR: PRETO. ESTRUTURA EM: POLIPROPILENO.;14/11/2008;01/12/2010;71;512;S;A;1008;220316;O;20,0000;20,0000;;;;;;;625,00;;1;;;;;;;;;8;;30/06/2024;490,0000;0,0000;490,0000;0,0000;;;;;;BEM
41;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;6578;MONITOR SAMSUNG. ANO FABRICACAO: 2008. COR: PRETO. ESTRUTURA EM: POLIPROPILENO.;04/11/2008;01/12/2010;71;375;S;A;1027;220316;O;20,0000;20,0000;;;;;;;495,00;;1;;;;;;;;;8;;30/06/2024;625,0000;0,0000;625,0000;0,0000;;;;;;BEM
42;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;3997;NOBREAK APC. COR: PRETO. ESTRUTURA EM: ACO. MARCA: APC. MODELO: BACKUPS;25/05/2000;01/12/2010;71;168;S;A;1012;220316;O;20,0000;20,0000;;;;;;;7518,00;;1;;;;;;;;;8;;30/06/2024;495,0000;0,0000;495,0000;0,0000;;;;;;BEM
43;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;93;NOBREAK BREAKLESS NEW. COR: PRETO. ESTRUTURA EM: ACO. MARCA: CP ELETRONICA. MODE;10/07/2009;01/12/2010;71;420;S;A;1016;220316;O;20,0000;20,0000;;;;;;;300,00;;1;;;;;;;;;8;;30/06/2024;7518,0000;0,0000;7518,0000;0,0000;;;;;;BEM
44;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;3641;CADEIRA GIRATORIA. ASSENTO EM: TECIDO. BRACOS EM: COM. COR: PRETO. ENCOSTO EM: T;16/10/2007;01/12/2010;152;375;S;A;1027;220317;O;10,0000;10,0000;;;;;;;900,00;;1;;;;;;;;;9;;30/06/2024;300,0000;0,0000;300,0000;0,0000;;;;;;BEM
45;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;679;CONDICIONADOR DE AR KOMECO. COR: BRANCO. ESTRUTURA EM: POLIPROPILENO. MARCA: KOM;20/09/2007;01/12/2010;152;512;S;A;1008;220317;O;10,0000;10,0000;;;;;;;300,00;;1;;;;;;;;;9;;30/06/2024;900,0000;0,0000;900,0000;0,0000;;;;;;BEM
46;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;704;CADEIRA GIRATORIA. ASSENTO EM: COURINO. BRACOS EM: COM. COR: PRETO. ENCOSTO EM:;16/10/2007;01/12/2010;152;173;S;A;1031;220317;O;10,0000;10,0000;;;;;;;628.4;;1;;;;;;;;;9;;30/06/2024;300,0000;0,0000;300,0000;0,0000;;;;;;BEM
47;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;706;POLTRONA FIXA. ASSENTO EM: COURINO. COR: BRANCO. ENCOSTO EM: COURINO. ESTRUTURA;14/12/2007;01/12/2010;152;172;S;A;1022;220317;O;10,0000;10,0000;;;;;;;1100,00;;1;;;;;;;;;9;;30/06/2024;628.4;0,0000;628.4;0,0000;;;;;;BEM
48;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;705;CONDICIONADOR DE AR KOMECO. COR: BEGE. ESTRUTURA EM: POLIPROPILENO. MARCA: KOMEC;29/12/2007;01/12/2010;152;172;S;A;1022;220317;O;10,0000;10,0000;;;;;;;628.4;;1;;;;;;;;;9;;30/06/2024;1100,0000;0,0000;1100,0000;0,0000;;;;;;BEM
49;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;707;POLTRONA FIXA. ASSENTO EM: COURINO. COR: BRANCO. ENCOSTO EM: COURINO. ESTRUTURA;14/12/2007;01/12/2010;152;172;S;A;1022;220317;O;10,0000;10,0000;;;;;;;1337.5;;1;;;;;;;;;9;;30/06/2024;628.4;0,0000;628.4;0,0000;;;;;;BEM
50;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;678;SOFA FIXO. ALTURA: ENCOSTO EM COURINO. COMPRIMENTO: ASSENTO EM COURINO. COR: BRA;14/12/2007;01/12/2010;152;180;S;A;1033;220317;O;10,0000;10,0000;;;;;;;832,00;;1;;;;;;;;;9;;30/06/2024;1337.5;0,0000;1337.5;0,0000;;;;;;BEM
51;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;2626;PURIFICADOR DE AGUA EVEREST. COR: BRANCO. ESTRUTURA EM: POLIPROPILENO. MARCA: EV;02/05/2008;01/12/2010;152;400;S;A;1019;220317;O;10,0000;10,0000;;;;;;;495,00;;1;;;;;;;;;9;;30/06/2024;832,0000;0,0000;832,0000;0,0000;;;;;;BEM
52;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;3941;NOBREAK APC. COR: PRETO. ESTRUTURA EM: ACO. MARCA: APC. MODELO: BACKUPS 700;25/05/2000;01/12/2010;71;202;S;A;1001;220316;O;20,0000;20,0000;;;;;;;2905,00;;1;;;;;;;;;8;;30/06/2024;495,0000;0,0000;495,0000;0,0000;;;;;;BEM
53;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;699;CONDICIONADOR DE AR KOMECO. COR: BEGE. ESTRUTURA EM: POLIPROPILENO. MARCA: KOMEC;29/12/2007;01/12/2010;152;504;S;A;1019;220317;O;10,0000;10,0000;;;;;;;2400,00;;1;;;;;;;;;9;;30/06/2024;2905,0000;0,0000;2905,0000;0,0000;;;;;;BEM
54;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;527;CPU. COR: PRETO. ESTRUTURA EM: ACO;22/03/2005;01/12/2010;71;375;S;A;1027;220316;O;20,0000;20,0000;;;;;;;426.75;;1;;;;;;;;;8;;30/06/2024;2400,0000;0,0000;2400,0000;0,0000;;;;;;BEM
55;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;5561;MONITOR LCD;18/08/2007;01/12/2010;71;520;S;A;1015;220316;O;20,0000;20,0000;;;;;;;426.75;;1;;;;;;;;;8;;30/06/2024;426.75;0,0000;426.75;0,0000;;;;;;BEM
56;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;822;MONITOR SAMSUNG. ANO FABRICACAO: 2007. COR: PRETO. ESTRUTURA EM: POLIPROPILENO.;18/08/2007;01/12/2010;71;420;S;A;1016;220316;O;20,0000;20,0000;;;;;;;426.75;;1;;;;;;;;;8;;30/06/2024;426.75;0,0000;426.75;0,0000;;;;;;BEM
57;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;818;MONITOR SAMSUNG. ANO FABRICACAO: 2007. COR: PRETO. ESTRUTURA EM: POLIPROPILENO.;18/08/2007;01/12/2010;71;420;S;A;1016;220316;O;20,0000;20,0000;;;;;;;5170,00;;1;;;;;;;;;8;;30/06/2024;426.75;0,0000;426.75;0,0000;;;;;;BEM
58;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;103;SWITCH 3COM. COR: CINZA. ESTRUTURA EM: ACO. MARCA: 3COM. MODELO: BASELINE 2824;13/07/2009;01/12/2010;71;529;S;A;1026;220316;O;20,0000;20,0000;;;;;;;6700,00;;1;;;;;;;;;8;;30/06/2024;5170,0000;0,0000;5170,0000;0,0000;;;;;;BEM
59;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;95;RACK DE TI. ALTURA: 2.25. COMPRIMENTO: 0.60. COR: CINZA. ESTRUTURA EM: ACO. LARG;15/10/2004;01/12/2010;71;420;S;A;1016;220316;O;20,0000;20,0000;;;;;;;1379,00;;1;;;;;;;;;8;;30/06/2024;6700,0000;0,0000;6700,0000;0,0000;;;;;;BEM
60;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;418;CPU. COR: PRETO. ESTRUTURA EM: ACO;06/12/2010;01/01/2011;71;162;S;A;1030;220316;O;20,0000;20,0000;;;;;;;1230,00;;1;;;;;;;;;8;;30/06/2024;1379,0000;0,0000;1379,0000;0,0000;;;;;;BEM
61;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;794;CONDICIONADOR DE AR KOMECO. COR: BRANCO. ESTRUTURA EM: POLIPROPILENO. MARCA: KOM;28/05/2008;01/12/2010;152;178;S;A;1024;220317;O;10,0000;10,0000;;;;;;;679,00;;1;;;;;;;;;9;;30/06/2024;1230,0000;0,0000;1230,0000;0,0000;;;;;;BEM
62;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;383;GELADEIRA CONTINENTAL. COR: BRANCO. ESTRUTURA EM: ACO. MARCA: CONTINENTAL;13/05/2008;01/12/2010;152;170;S;A;1026;220317;O;10,0000;10,0000;;;;;;;636,00;;1;;;;;;;;;9;;30/06/2024;679,0000;0,0000;679,0000;0,0000;;;;;;BEM
63;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;999107;ANTENA PARABOLICA;26/07/2006;01/12/2010;152;529;S;A;1026;220317;O;10,0000;10,0000;;;;;;;292.09;;1;;;;;;;;;9;;30/06/2024;636,0000;0,0000;636,0000;0,0000;;;;;;BEM
64;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;6690;MONITOR SAMSUNG. ANO FABRICACAO: 2010. COR: PRETO. ESTRUTURA EM: POLIPROPILENO.;20/12/2010;01/01/2011;71;407;S;A;1025;220316;O;20,0000;20,0000;;;;;;;1380,00;;1;;;;;;;;;8;;30/06/2024;292.09;0,0000;292.09;0,0000;;;;;;BEM
65;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;6726;MESA EM MDF. ALTURA: 0.80. COMPRIMENTO: 1.40. COR: CINZA. ESTRUTURA EM: MDF. LAR;21/12/2010;01/01/2011;152;400;S;A;1019;220317;O;10,0000;10,0000;;;;;;;793,00;;1;;;;;;;;;9;;30/06/2024;1380,0000;0,0000;1380,0000;0,0000;;;;;;BEM
66;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;2231;FRAGMENTADORA DE PAPEL FELLOWES. COR: BEGE. ESTRUTURA EM: POLIPROPILENO. MARCA:;12/05/2008;01/12/2010;152;310;S;A;1020;220317;O;10,0000;10,0000;;;;;;;750,00;;1;;;;;;;;;9;;30/06/2024;793,0000;0,0000;793,0000;0,0000;;;;;;BEM
67;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;658;ARMARIO BAIXO. ALTURA: 1.25. COMPRIMENTO: 1.30. COR: BRANCO. ESTRUTURA EM: MDF.;21/02/2008;01/12/2010;152;400;S;A;1019;220317;O;10,0000;10,0000;;;;;;;1700,00;;1;;;;;;;;;9;;30/06/2024;750,0000;0,0000;750,0000;0,0000;;;;;;BEM
68;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;626;CONDICIONADOR DE AR KOMECO. COR: BRANCO. ESTRUTURA EM: POLIPROPILENO. MARCA: KOM;27/08/2007;01/12/2010;152;400;S;A;1019;220317;O;10,0000;10,0000;;;;;;;1246,00;;1;;;;;;;;;9;;30/06/2024;1700,0000;0,0000;1700,0000;0,0000;;;;;;BEM
69;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;6724;MESA EM MDF. ALTURA: 0.80. COMPRIMENTO: 1.40. COR: CINZA. ESTRUTURA EM: MDF. LAR;06/02/2008;01/12/2010;152;400;S;A;1019;220317;O;10,0000;10,0000;;;;;;;1246,00;;1;;;;;;;;;9;;30/06/2024;1246,0000;0,0000;1246,0000;0,0000;;;;;;BEM
70;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;6725;MESA EM MDF. ALTURA: 0.80. COMPRIMENTO: 1.40. COR: CINZA. ESTRUTURA EM: MDF. LAR;06/02/2008;01/12/2010;152;400;S;A;1019;220317;O;10,0000;10,0000;;;;;;;565,00;;1;;;;;;;;;9;;30/06/2024;1246,0000;0,0000;1246,0000;0,0000;;;;;;BEM
71;05/09/2024;wbarbosa;05/09/2024;wbarbosa;4;589;LONGARINA 2 LUGARES. ASSENTO EM: POLIPROPILENO. BRACOS EM: COM. COR: BRANCO. ENC;21/12/2010;01/01/2011;152;529;S;A;1026;220317;O;10,0000;10,0000;;;;;;;565,00;;1;;;;;;;;;9;;30/06/2024;565,0000;0,0000;565,0000;0,0000;;;;;;BEM
